LOCALIDAD;DEPARTAMENTO;POBLACIÓN
ORDOÑEZ;UNION;2613
PACHECO DE MELO;JUAREZ CELMAN;60
PAMPAYASTA NORTE;TERCERO ARRIBA;95
PAMPAYASTA SUD;TERCERO ARRIBA;1212
PANAHOLMA;SAN ALBERTO;278
PARQUE CALMAYO;CALAMUCHITA;74
PASCANAS;UNION;2779
PASCO;GENERAL SAN MARTIN;1201
PASO DEL DURAZNO;JUAREZ CELMAN;55
PASO VIEJO;CRUZ DEL EJE;32
PILAR;RIO SEGUNDO;14809
PINCEN;GENERAL ROCA;254
PIQUILLIN;RIO PRIMERO;1364
PLAZA DE MERCEDES;RIO PRIMERO;67
PLAZA LUXARDO;SAN JUSTO;195
PORTEÑA;SAN JUSTO;5439
POTRERO DE GARAY;SANTA MARIA;1323
POZO DEL MOLLE;RIO SEGUNDO;5718
POZO NUEVO;SOBREMONTE;468
PUEBLO ITALIANO;UNION;1662
PUESTO DE CASTRO;RIO SECO;172
PUNTA DEL AGUA;TERCERO ARRIBA;175
QUEBRACHO HERRADO;SAN JUSTO;388
QUILINO;ISCHILIN;5262
RAFAEL GARCIA;SANTA MARIA;565
RANQUELES;GENERAL ROCA;67
RAYO CORTADO;RIO SECO;691
REDUCCION;JUAREZ CELMAN;1742
RINCON;RIO SEGUNDO;540
RIO CEBALLOS;COLON;20242
RIO CUARTO;RIO CUARTO;158298
RIO DE LOS SAUCES;CALAMUCHITA;1326
RIO PRIMERO;RIO PRIMERO;7389
RIO SEGUNDO;RIO SEGUNDO;20427
RIO TERCERO;TERCERO ARRIBA;46800
RIOBAMBA;ROQUE SAENZ PEÑA;105
ROSALES;ROQUE SAENZ PEÑA;535
ROSARIO DEL SALADILLO;TULUMBA;178
SACANTA;SAN JUSTO;3134
SAGRADA FAMILIA;RIO PRIMERO;151
SAIRA;MARCOS JUAREZ;812
SALADILLO;MARCOS JUAREZ;186
SALDAN;COLON;10606
SALSACATE;POCHO;1728
SALSIPUEDES;COLON;9842
SAMPACHO;RIO CUARTO;7846
SAN AGUSTIN;CALAMUCHITA;3732
SAN ANTONIO DE ARREDONDO;PUNILLA;3930
SAN ANTONIO DE LITIN;UNION;1314
SAN BASILIO;RIO CUARTO;3225
SAN CARLOS MINAS;MINAS;1713
SAN CLEMENTE;SANTA MARIA;240
SAN ESTEBAN;PUNILLA;857
SAN FRANCISCO;SAN JUSTO;62211
SAN FRANCISCO DEL CHAÑAR;SOBREMONTE;2506
SAN JERONIMO;POCHO;1825
SAN IGNACIO;CALAMUCHITA;602
SAN JAVIER Y YACANTO;SAN JAVIER;247
SAN JOAQUIN;ROQUE SAENZ PEÑA;140
SAN JOSE;SAN JAVIER;2591
SAN JOSE DE LA DORMIDA;TULUMBA;4510
SAN JOSE DE LAS SALINAS;TULUMBA;777
SAN LORENZO;SAN ALBERTO;1045
SAN MARCOS SIERRAS;CRUZ DEL EJE;2199
SAN MARCOS SUD;UNION;3145
SAN PEDRO;SAN ALBERTO;4624
SAN PEDRO NORTE;TULUMBA;379
SAN ROQUE;PUNILLA;1128
SAN VICENTE;SAN ALBERTO;1783
SANTA CATALINA - HOLMBERG;RIO CUARTO;3898
SANTA ELENA;RIO SECO;296
SANTA EUFEMIA;JUAREZ CELMAN;2417
SANTA MARIA DE PUNILLA;PUNILLA;9691
SANTA ROSA DE CALAMUCHITA;CALAMUCHITA;12830
SANTIAGO TEMPLE;RIO SEGUNDO;2787
SARMIENTO;TOTORAL;1455
SATURNINO MARIA LASPIUR;SAN JUSTO;2496
SAUCE ARRIBA;SAN ALBERTO;749
SEBASTIAN ELCANO;RIO SECO;2481
SEEBER;SAN JUSTO;620
SEGUNDA USINA;CALAMUCHITA;170
SERRANO;ROQUE SAENZ PEÑA;3209
SERREZUELA;CRUZ DEL EJE;2678
SILVIO PELLICO;GENERAL SAN MARTIN;405
SIMBOLAR;TOTORAL;350
SINSACATE;TOTORAL;1344
SUCO;RIO CUARTO;307
TALA CAÑADA;POCHO;254
TALA HUASI;PUNILLA;147
TALAINI;MINAS;123
TANCACHA;TERCERO ARRIBA;5309
TANTI;PUNILLA;6841
TICINO;GENERAL SAN MARTIN;2207
TINOCO;COLON;514
TIO PUJIO;GENERAL SAN MARTIN;2676
TOLEDO;SANTA MARIA;4107
TORO PUJIO;SAN JUSTO;173
TOSNO;MINAS;186
TOSQUITA;RIO CUARTO;414
TRANSITO;SAN JUSTO;3185
TUCLAME;CRUZ DEL EJE;
UCACHA;JUAREZ CELMAN;5167
UNQUILLO;COLON;18483
VALLE DE ANISACATE;SANTA MARIA;487
VALLE HERMOSO;PUNILLA;6252
VIAMONTE;UNION;1594
VICUÑA MACKENNA;RIO CUARTO;10170
VILLA ALLENDE;COLON;28374
VILLA AMANCAY;CALAMUCHITA;450
VILLA ASCASUBI;TERCERO ARRIBA;2355
VILLA CANDELARIA NORTE;RIO SECO;280
VILLA CARLOS PAZ;PUNILLA;62750
VILLA CERRO AZUL;COLON;762
VILLA CIUDAD DE AMERICA;SANTA MARIA;1165
VILLA CIUDAD PARQUE LOS REARTES;CALAMUCHITA;276
VILLA CONCEPCION DEL TIO;SAN JUSTO;1886
VILLA CURA BROCHERO;SAN ALBERTO;6351
VILLA DE LAS ROSAS;SAN JAVIER;4116
VILLA DE MARIA;RIO SECO;4911
VILLA DE POCHO;POCHO;201
VILLA DE SOTO;CRUZ DEL EJE;9927
VILLA DEL DIQUE;CALAMUCHITA;3303
VILLA DEL PRADO;SANTA MARIA;2011
VILLA DEL ROSARIO;RIO SEGUNDO;15394
VILLA DEL TOTORAL;TOTORAL;8439
VILLA DOLORES;SAN JAVIER;31853
VILLA EL CHACAY;RIO CUARTO;84
VILLA ELISA;MARCOS JUAREZ;26
VILLA FONTANA;RIO PRIMERO;939
VILLA GENERAL BELGRANO;CALAMUCHITA;8257
VILLA GIARDINO;PUNILLA;6810
VILLA GUTIERREZ;ISCHILIN;341
VILLA HUIDOBRO;GENERAL ROCA;5658
VILLA LA BOLSA;SANTA MARIA;995
VILLA LOS AROMOS;SANTA MARIA;1378
VILLA LOS PATOS;UNION;26
VILLA MARIA;GENERAL SAN MARTIN;80006
VILLA NUEVA;GENERAL SAN MARTIN;19362
VILLA PARQUE SANTA ANA;SANTA MARIA;2861
VILLA PARQUE SIQUIMAN;PUNILLA;1888
VILLA QUILLINZO;CALAMUCHITA;79
VILLA ROSSI;ROQUE SAENZ PEÑA;515
VILLA RUMIPAL;CALAMUCHITA;2663
VILLA SAN ESTEBAN;SAN JUSTO;82
VILLA SAN ISIDRO;SANTA MARIA;1249
VILLA SANTA CRUZ DEL LAGO;PUNILLA;2472
VILLA SANTA ROSA;RIO PRIMERO;7805
VILLA SARMIENTO (C);GENERAL ROCA;373
VILLA SARMIENTO (M);SAN ALBERTO;5264
VILLA TULUMBA;TULUMBA;1597
VILLA VALERIA;GENERAL ROCA;3002
VILLA YACANTO;CALAMUCHITA;1634
WASHINGTON;RIO CUARTO;608
WENCESLAO ESCALANTE;UNION;1517
